Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16514	     	    21355	     	     1627
        0	     	        0	     	    16111	     	    21043	     	     1592
        0	     	        0	     	    16114	     	    21514	     	     1549
        0	     	        0	     	    16644	     	    21436	     	     1646
        0	     	        0	     	    16486	     	    21503	     	     1639
        0	     	        0	     	    16311	     	    21484	     	     1664
        0	     	        0	     	    16204	     	    21350	     	     1614
        0	     	        0	     	    16202	     	    21428	     	     1638
        0	     	        0	     	    16640	     	    21347	     	     1622
        0	     	        0	     	    16280	     	    21299	     	     1567
        0	     	        0	     	    16317	     	    21371	     	     1593
        0	     	        0	     	    16354	     	    21217	     	     1559
        0	     	        0	     	    16464	     	    21383	     	     1597
        0	     	        0	     	    16278	     	    21447	     	     1571
        0	     	        0	     	    16213	     	    21345	     	     1714
        0	     	        0	     	    16467	     	    21522	     	     1608
        0	     	        0	     	    16573	     	    21544	     	     1705
        0	     	        0	     	    16366	     	    21170	     	     1628
        0	     	        0	     	    16495	     	    21402	     	     1658
        0	     	        0	     	    16372	     	    21701	     	     1621
