Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    15050	     	    22531	     	     2183
        0	     	        0	     	    15161	     	    22510	     	     2158
        0	     	        0	     	    15093	     	    22483	     	     2177
        0	     	        0	     	    15259	     	    22651	     	     2111
        0	     	        0	     	    15175	     	    22903	     	     2176
        0	     	        0	     	    15056	     	    22548	     	     2169
        0	     	        0	     	    15166	     	    22392	     	     2137
        0	     	        0	     	    14911	     	    22478	     	     2096
        0	     	        0	     	    15083	     	    22454	     	     2156
        0	     	        0	     	    15083	     	    22600	     	     2063
        0	     	        0	     	    15235	     	    22685	     	     2178
        0	     	        0	     	    15200	     	    22463	     	     2132
        0	     	        0	     	    15419	     	    22792	     	     2203
        0	     	        0	     	    15210	     	    22645	     	     2171
        0	     	        0	     	    14966	     	    22405	     	     2085
        0	     	        0	     	    15270	     	    22561	     	     2111
        0	     	        0	     	    15475	     	    22449	     	     2072
        0	     	        0	     	    15397	     	    22669	     	     2222
        0	     	        0	     	    15224	     	    22624	     	     2145
        0	     	        0	     	    15075	     	    22832	     	     2184
