Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    17496	     	    19811	     	     2159
        0	     	        0	     	    17432	     	    19683	     	     2064
        0	     	        0	     	    17814	     	    19921	     	     2120
        0	     	        0	     	    17546	     	    19881	     	     2127
        0	     	        0	     	    17564	     	    19754	     	     2140
        0	     	        0	     	    17587	     	    19857	     	     2151
        0	     	        0	     	    17568	     	    19619	     	     2047
        0	     	        0	     	    17636	     	    19823	     	     2125
        0	     	        0	     	    17397	     	    19755	     	     2094
        0	     	        0	     	    17483	     	    19664	     	     2113
        0	     	        0	     	    17787	     	    19496	     	     2078
        0	     	        0	     	    17789	     	    19884	     	     2136
        0	     	        0	     	    17659	     	    19944	     	     2169
        0	     	        0	     	    17511	     	    19647	     	     2036
        0	     	        0	     	    17474	     	    19723	     	     2124
        0	     	        0	     	    17797	     	    19968	     	     2150
        0	     	        0	     	    17601	     	    19781	     	     2235
        0	     	        0	     	    17490	     	    19657	     	     2058
        0	     	        0	     	    17432	     	    19671	     	     2092
        0	     	        0	     	    17366	     	    19762	     	     2175
