Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16017	     	    20902	     	     1738
        0	     	        0	     	    16212	     	    20835	     	     1727
        0	     	        0	     	    16085	     	    21128	     	     1811
        0	     	        0	     	    16109	     	    20763	     	     1746
        0	     	        0	     	    16139	     	    20947	     	     1774
        0	     	        0	     	    16187	     	    20835	     	     1623
        0	     	        0	     	    16002	     	    20878	     	     1760
        0	     	        0	     	    16165	     	    20637	     	     1706
        0	     	        0	     	    16285	     	    20984	     	     1771
        0	     	        0	     	    16413	     	    20825	     	     1721
        0	     	        0	     	    16150	     	    21126	     	     1723
        0	     	        0	     	    15992	     	    20917	     	     1787
        0	     	        0	     	    16296	     	    20772	     	     1763
        0	     	        0	     	    16026	     	    20787	     	     1692
        0	     	        0	     	    16161	     	    20610	     	     1714
        0	     	        0	     	    16267	     	    20963	     	     1801
        0	     	        0	     	    16155	     	    20976	     	     1721
        0	     	        0	     	    16071	     	    20913	     	     1765
        0	     	        0	     	    16104	     	    20957	     	     1697
        0	     	        0	     	    16101	     	    20685	     	     1652
