Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    15510	     	     1357	     	        2
        0	     	        0	     	    29623	     	     1275	     	        3
        0	     	        0	     	    33496	     	     1692	     	        2
        0	     	        0	     	    41368	     	     2498	     	        8
        0	     	        0	     	    41488	     	     2429	     	        6
        0	     	        0	     	    41284	     	     2549	     	        5
        0	     	        0	     	    41377	     	     2449	     	        7
        0	     	        0	     	    41464	     	     2500	     	        6
        0	     	        0	     	    41576	     	     2467	     	        7
        0	     	        0	     	    41627	     	     2352	     	        2
        0	     	        0	     	    41309	     	     2408	     	        4
        0	     	        0	     	    41401	     	     2551	     	        4
        0	     	        0	     	    41799	     	     2538	     	        3
        0	     	        0	     	    41413	     	     2445	     	        5
        0	     	        0	     	    41492	     	     2462	     	        7
        0	     	        0	     	    41493	     	     2423	     	        9
        0	     	        0	     	    41226	     	     2479	     	        8
        0	     	        0	     	    41632	     	     2492	     	        3
        0	     	        0	     	    40975	     	     2473	     	        4
        0	     	        0	     	    41490	     	     2440	     	        6
        0	     	        0	     	    41308	     	     2442	     	        8
        0	     	        0	     	    41264	     	     2542	     	        8
        0	     	        0	     	    41487	     	     2550	     	        7
        0	     	        0	     	    41332	     	     2514	     	        6
        0	     	        0	     	    41051	     	     2551	     	        3
        0	     	        0	     	    41199	     	     2436	     	        6
        0	     	        0	     	    41260	     	     2502	     	        6
        0	     	        0	     	    41353	     	     2518	     	        5
        0	     	        0	     	    41154	     	     2529	     	        9
        0	     	        0	     	    41305	     	     2470	     	        5
        0	     	        0	     	    41596	     	     2470	     	        7
        0	     	        0	     	    41277	     	     2520	     	        5
        0	     	        0	     	    41435	     	     2480	     	        8
        0	     	        0	     	    41290	     	     2590	     	        6
        0	     	        0	     	    41735	     	     2967	     	        3
        0	     	        0	     	    42377	     	     4797	     	        9
        0	     	        0	     	    45460	     	    13278	     	    25318
        0	     	        0	     	    21723	     	    53699	     	    36604
        0	     	        0	     	    20739	     	    61810	     	    48082
        0	     	        0	     	    18714	     	    38832	     	     6971
        0	     	        0	     	    57911	     	    18385	     	      249
        0	     	        0	     	    49215	     	    11286	     	     3509
        0	     	        0	     	     7806	     	    46646	     	     3236
        0	     	        0	     	    31273	     	     2483	     	      737
        0	     	        0	     	    41407	     	    29635	     	     1205
        0	     	        0	     	    41127	     	    37327	     	     1298
        0	     	        0	     	    21039	     	    11870	     	      968
