Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16482	     	    21402	     	     1592
        0	     	        0	     	    16259	     	    20987	     	     1629
        0	     	        0	     	    16344	     	    21113	     	     1615
        0	     	        0	     	    16278	     	    21044	     	     1646
        0	     	        0	     	    16214	     	    21061	     	     1593
        0	     	        0	     	    16299	     	    21417	     	     1674
        0	     	        0	     	    16295	     	    21228	     	     1672
        0	     	        0	     	    16339	     	    21373	     	     1629
        0	     	        0	     	    16170	     	    21279	     	     1606
        0	     	        0	     	    16305	     	    21383	     	     1602
        0	     	        0	     	    16289	     	    21475	     	     1664
        0	     	        0	     	    16321	     	    21155	     	     1630
        0	     	        0	     	    16347	     	    21141	     	     1640
        0	     	        0	     	    16229	     	    21104	     	     1674
        0	     	        0	     	    16329	     	    21283	     	     1565
        0	     	        0	     	    16265	     	    21308	     	     1643
        0	     	        0	     	    16246	     	    21518	     	     1641
        0	     	        0	     	    16421	     	    21504	     	     1689
        0	     	        0	     	    16096	     	    21200	     	     1632
        0	     	        0	     	    16195	     	    21218	     	     1634
