Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16306	     	    21041	     	     1741
        0	     	        0	     	    16305	     	    21096	     	     1826
        0	     	        0	     	    16151	     	    20962	     	     1781
        0	     	        0	     	    16519	     	    21011	     	     1792
        0	     	        0	     	    16328	     	    20884	     	     1735
        0	     	        0	     	    16174	     	    21051	     	     1760
        0	     	        0	     	    16110	     	    20914	     	     1816
        0	     	        0	     	    16111	     	    21017	     	     1697
        0	     	        0	     	    16158	     	    20896	     	     1728
        0	     	        0	     	    16251	     	    20986	     	     1758
        0	     	        0	     	    16258	     	    20679	     	     1669
        0	     	        0	     	    16131	     	    21039	     	     1719
        0	     	        0	     	    16274	     	    20899	     	     1741
        0	     	        0	     	    16320	     	    21177	     	     1798
        0	     	        0	     	    16087	     	    20710	     	     1674
        0	     	        0	     	    16452	     	    21161	     	     1744
        0	     	        0	     	    16168	     	    20820	     	     1792
        0	     	        0	     	    16146	     	    20775	     	     1708
        0	     	        0	     	    16192	     	    20801	     	     1719
        0	     	        0	     	    16330	     	    21016	     	     1731
