Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    17947	     	    19733	     	     2119
        0	     	        0	     	    17478	     	    19647	     	     2066
        0	     	        0	     	    17428	     	    19867	     	     2108
        0	     	        0	     	    17610	     	    19560	     	     2098
        0	     	        0	     	    17639	     	    19716	     	     2089
        0	     	        0	     	    17502	     	    19475	     	     2105
        0	     	        0	     	    17649	     	    19534	     	     2125
        0	     	        0	     	    17465	     	    19684	     	     2114
        0	     	        0	     	    17613	     	    19863	     	     2150
        0	     	        0	     	    17751	     	    19570	     	     2126
        0	     	        0	     	    17737	     	    19848	     	     2064
        0	     	        0	     	    17467	     	    19748	     	     2128
        0	     	        0	     	    17177	     	    19949	     	     2153
        0	     	        0	     	    17617	     	    19644	     	     2048
        0	     	        0	     	    17734	     	    19720	     	     2116
        0	     	        0	     	    17663	     	    19742	     	     2135
        0	     	        0	     	    17764	     	    19510	     	     2121
        0	     	        0	     	    17388	     	    19503	     	     2199
        0	     	        0	     	    17625	     	    19741	     	     2100
        0	     	        0	     	    17660	     	    19809	     	     2191
