Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16346	     	    20750	     	     1718
        0	     	        0	     	    15964	     	    20615	     	     1656
        0	     	        0	     	    16112	     	    20529	     	     1700
        0	     	        0	     	    16347	     	    20393	     	     1707
        0	     	        0	     	    16035	     	    20798	     	     1669
        0	     	        0	     	    15926	     	    20424	     	     1654
        0	     	        0	     	    16162	     	    20760	     	     1729
        0	     	        0	     	    16177	     	    20764	     	     1716
        0	     	        0	     	    16089	     	    20697	     	     1713
        0	     	        0	     	    16212	     	    20587	     	     1735
        0	     	        0	     	    16555	     	    20937	     	     1736
        0	     	        0	     	    16009	     	    20553	     	     1748
        0	     	        0	     	    16159	     	    20673	     	     1664
        0	     	        0	     	    15909	     	    21033	     	     1673
        0	     	        0	     	    16096	     	    20631	     	     1657
        0	     	        0	     	    16093	     	    20697	     	     1718
        0	     	        0	     	    16242	     	    20656	     	     1699
        0	     	        0	     	    16098	     	    20590	     	     1694
        0	     	        0	     	    16086	     	    20711	     	     1642
        0	     	        0	     	    16247	     	    20685	     	     1718
