Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    15025	     	    22747	     	     2083
        0	     	        0	     	    15239	     	    22447	     	     2194
        0	     	        0	     	    15221	     	    22338	     	     2070
        0	     	        0	     	    15002	     	    22444	     	     2054
        0	     	        0	     	    15060	     	    22531	     	     2096
        0	     	        0	     	    15039	     	    22458	     	     2144
        0	     	        0	     	    14867	     	    22355	     	     2081
        0	     	        0	     	    15311	     	    22483	     	     2172
        0	     	        0	     	    15197	     	    22599	     	     2135
        0	     	        0	     	    15083	     	    22507	     	     2028
        0	     	        0	     	    15201	     	    22659	     	     2164
        0	     	        0	     	    15245	     	    22523	     	     2143
        0	     	        0	     	    15281	     	    22488	     	     2127
        0	     	        0	     	    15190	     	    22611	     	     2099
        0	     	        0	     	    15297	     	    22310	     	     2112
        0	     	        0	     	    15111	     	    22466	     	     2110
        0	     	        0	     	    15188	     	    22515	     	     2028
        0	     	        0	     	    15177	     	    22336	     	     2141
        0	     	        0	     	    14953	     	    22684	     	     2097
        0	     	        0	     	    15181	     	    22530	     	     2180
