Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    17429	     	    19700	     	     2135
        0	     	        0	     	    17460	     	    19854	     	     2044
        0	     	        0	     	    17543	     	    19854	     	     2090
        0	     	        0	     	    17499	     	    19804	     	     2084
        0	     	        0	     	    17632	     	    19859	     	     2123
        0	     	        0	     	    17710	     	    19498	     	     2035
        0	     	        0	     	    17978	     	    20244	     	     2107
        0	     	        0	     	    17760	     	    19876	     	     2088
        0	     	        0	     	    17581	     	    19785	     	     1993
        0	     	        0	     	    17627	     	    19837	     	     2004
        0	     	        0	     	    17671	     	    19542	     	     2112
        0	     	        0	     	    17500	     	    19769	     	     2112
        0	     	        0	     	    17389	     	    19747	     	     2068
        0	     	        0	     	    17418	     	    20185	     	     2125
        0	     	        0	     	    17765	     	    19782	     	     2107
        0	     	        0	     	    17475	     	    19765	     	     2056
        0	     	        0	     	    17579	     	    19964	     	     2075
        0	     	        0	     	    17550	     	    19586	     	     2045
        0	     	        0	     	    17603	     	    19940	     	     2095
        0	     	        0	     	    17316	     	    19829	     	     2024
