0	7.25E+02
1	6.35E+02
2	6.60E+02
4	6.80E+02
5	6.75E+02
6	6.30E+02
7	7.25E+02
9	6.00E+02
10	5.59E+02
11	5.80E+02
12	5.20E+02
13	5.25E+02
15	6.65E+02
16	4.90E+02
17	5.25E+02
18	5.30E+02
20	5.45E+02
21	4.78E+02
22	3.75E+02
23	6.25E+02
24	4.45E+02
26	3.25E+02
27	4.20E+02
28	4.55E+02
29	3.48E+02
31	2.75E+02
32	5.95E+02
33	5.98E+02
34	4.50E+02
35	5.40E+02
37	2.54E+02
38	2.05E+02
39	1.60E+02
40	1.55E+02
41	1.80E+02
43	2.55E+02
44	2.29E+02
45	3.80E+02
46	2.70E+02
48	1.90E+02
49	3.35E+02
50	2.05E+02
51	1.78E+02
52	1.20E+02
54	1.60E+02
55	1.50E+02
56	1.15E+02
57	1.15E+02
59	1.05E+02
60	1.10E+02
61	1.05E+02
62	8.75E+01
63	9.98E+01
65	8.70E+01
66	8.75E+01
67	7.75E+01
68	7.65E+01
70	8.15E+01
71	7.85E+01
72	6.75E+01
73	6.70E+01
74	6.24E+01
76	5.90E+01
77	5.70E+01
78	5.30E+01
79	4.80E+01
81	4.70E+01
82	4.45E+01
83	4.46E+01
84	4.05E+01
85	3.85E+01
87	3.55E+01
88	3.55E+01
89	3.50E+01
90	3.25E+01
92	2.90E+01
93	2.70E+01
94	2.70E+01
95	2.65E+01
96	2.45E+01
98	2.35E+01
99	2.28E+01
100	2.15E+01
101	2.06E+01
102	1.90E+01
104	1.85E+01
105	1.75E+01
106	1.70E+01
107	1.60E+01
109	1.55E+01
110	1.45E+01
111	1.40E+01
112	1.30E+01
113	1.25E+01
115	1.20E+01
116	1.15E+01
117	1.10E+01
118	1.05E+01
120	1.00E+01
121	9.55E+00
122	9.60E+00
123	9.15E+00
124	8.65E+00
126	8.15E+00
127	7.86E+00
128	7.45E+00
129	7.25E+00
131	7.00E+00
132	6.80E+00
133	6.40E+00
134	6.15E+00
135	5.89E+00
137	5.68E+00
138	5.30E+00
139	5.10E+00
140	4.96E+00
142	4.65E+00
143	4.58E+00
144	4.30E+00
145	4.10E+00
146	3.95E+00
148	3.80E+00
149	3.65E+00
150	3.45E+00
151	3.35E+00
153	3.15E+00
154	3.00E+00
155	2.90E+00
156	2.75E+00
157	2.65E+00
159	2.55E+00
160	2.55E+00
161	2.35E+00
162	2.25E+00
163	2.15E+00
165	2.05E+00
166	1.95E+00
167	1.90E+00
168	1.80E+00
170	1.75E+00
171	1.65E+00
172	1.60E+00
173	1.50E+00
174	1.45E+00
176	1.40E+00
177	1.35E+00
178	1.30E+00
179	1.25E+00
181	1.20E+00
182	1.50E+00
183	1.10E+00
184	1.05E+00
185	1.00E+00
187	9.75E-01
188	9.45E-01
189	9.10E-01
190	8.75E-01
192	8.45E-01
193	8.10E-01
194	7.86E-01
195	7.55E-01
196	7.25E-01
198	6.95E-01
199	6.70E-01
200	6.45E-01
201	6.20E-01
203	5.95E-01
204	5.80E-01
205	5.55E-01
206	5.40E-01
207	5.15E-01
209	5.05E-01
210	4.85E-01
211	4.60E-01
212	4.45E-01
214	4.25E-01
215	4.15E-01
216	3.95E-01
217	3.85E-01
218	3.70E-01
220	3.60E-01
221	3.45E-01
222	3.35E-01
223	3.25E-01
224	3.20E-01
226	3.10E-01
227	3.00E-01
228	2.90E-01
229	2.80E-01
231	2.76E-01
232	2.68E-01
233	2.65E-01
234	2.45E-01
235	2.40E-01
237	2.35E-01
238	2.25E-01
239	2.20E-01
240	2.20E-01
242	2.15E-01
243	2.10E-01
244	2.05E-01
