Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
0	     	0	     	15178	     	22732	     	2326
0	     	0	     	15045	     	22849	     	2196
0	     	0	     	15221	     	22910	     	2222
0	     	0	     	15312	     	22785	     	2313
0	     	0	     	14970	     	22891	     	2229
0	     	0	     	15207	     	22763	     	2249
0	     	0	     	15194	     	22701	     	2254
0	     	0	     	15007	     	22738	     	2147
0	     	0	     	15252	     	22903	     	2272
0	     	0	     	15160	     	22946	     	2174
0	     	0	     	15077	     	22598	     	2223
0	     	0	     	15099	     	22701	     	2220
0	     	0	     	14961	     	22726	     	2172
0	     	0	     	15078	     	22709	     	2133
0	     	0	     	15151	     	22810	     	2210
0	     	0	     	15195	     	22610	     	2198
0	     	0	     	15069	     	22835	     	2244
0	     	0	     	14922	     	22639	     	2180
0	     	0	     	15290	     	22612	     	2199
0	     	0	     	15086	     	22518	     	2209
								
							Promedio =	2218,5
