Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    14961	     	    22106	     	     1907
        0	     	        0	     	    15359	     	    22140	     	     1960
        0	     	        0	     	    15085	     	    22293	     	     1965
        0	     	        0	     	    15211	     	    22327	     	     1934
        0	     	        0	     	    15269	     	    21872	     	     1994
        0	     	        0	     	    14920	     	    22175	     	     1951
        0	     	        0	     	    15232	     	    22093	     	     1954
        0	     	        0	     	    15050	     	    22277	     	     2002
        0	     	        0	     	    15364	     	    22426	     	     2017
        0	     	        0	     	    15106	     	    22345	     	     1971
        0	     	        0	     	    14909	     	    22318	     	     1919
        0	     	        0	     	    14939	     	    21939	     	     1926
        0	     	        0	     	    15069	     	    22127	     	     2034
        0	     	        0	     	    15142	     	    22416	     	     2042
        0	     	        0	     	    15113	     	    21957	     	     1928
        0	     	        0	     	    15182	     	    22118	     	     1952
        0	     	        0	     	    15001	     	    22357	     	     1945
        0	     	        0	     	    15005	     	    22153	     	     1937
        0	     	        0	     	    14978	     	    22344	     	     1955
        0	     	        0	     	    14979	     	    22105	     	     1980
