Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16290	     	    20498	     	     1570
        0	     	        0	     	    16197	     	    20264	     	     1506
        0	     	        0	     	    15987	     	    20197	     	     1540
        0	     	        0	     	    16074	     	    20488	     	     1572
        0	     	        0	     	    16109	     	    20101	     	     1520
        0	     	        0	     	    16353	     	    20214	     	     1504
        0	     	        0	     	    16021	     	    20242	     	     1426
        0	     	        0	     	    16125	     	    20495	     	     1530
        0	     	        0	     	    16135	     	    20335	     	     1514
        0	     	        0	     	    16183	     	    20269	     	     1484
        0	     	        0	     	    16067	     	    20169	     	     1547
        0	     	        0	     	    16065	     	    20266	     	     1544
        0	     	        0	     	    16163	     	    20392	     	     1517
        0	     	        0	     	    16161	     	    20134	     	     1578
        0	     	        0	     	    16220	     	    20293	     	     1541
        0	     	        0	     	    16068	     	    20045	     	     1473
        0	     	        0	     	    16132	     	    20314	     	     1605
        0	     	        0	     	    16359	     	    20009	     	     1553
        0	     	        0	     	    16139	     	    20375	     	     1535
        0	     	        0	     	    15951	     	    20310	     	     1477
