Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    17621	     	    20151	     	     1930
        0	     	        0	     	    17594	     	    20043	     	     1880
        0	     	        0	     	    17584	     	    20105	     	     1915
        0	     	        0	     	    17872	     	    20097	     	     1953
        0	     	        0	     	    17332	     	    20149	     	     1906
        0	     	        0	     	    17563	     	    20185	     	     1900
        0	     	        0	     	    17562	     	    20200	     	     1885
        0	     	        0	     	    17650	     	    19907	     	     1960
        0	     	        0	     	    17554	     	    20043	     	     1889
        0	     	        0	     	    17607	     	    20142	     	     1999
        0	     	        0	     	    17518	     	    19959	     	     1910
        0	     	        0	     	    17554	     	    20372	     	     1924
        0	     	        0	     	    17322	     	    19963	     	     1876
        0	     	        0	     	    17639	     	    20076	     	     1841
        0	     	        0	     	    17441	     	    19892	     	     1864
        0	     	        0	     	    17568	     	    20041	     	     1994
        0	     	        0	     	    17570	     	    19988	     	     1915
        0	     	        0	     	    17773	     	    20253	     	     1956
        0	     	        0	     	    17506	     	    19910	     	     1901
        0	     	        0	     	    17555	     	    20121	     	     1929
