Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16328	     	    21737	     	     1453
        0	     	        0	     	    16421	     	    21771	     	     1530
        0	     	        0	     	    16144	     	    21987	     	     1511
        0	     	        0	     	    16175	     	    21668	     	     1490
        0	     	        0	     	    16513	     	    21929	     	     1533
        0	     	        0	     	    16267	     	    21733	     	     1440
        0	     	        0	     	    16322	     	    21792	     	     1606
        0	     	        0	     	    16363	     	    21901	     	     1519
        0	     	        0	     	    16234	     	    21804	     	     1453
        0	     	        0	     	    16362	     	    21575	     	     1542
        0	     	        0	     	    16284	     	    21946	     	     1481
        0	     	        0	     	    16161	     	    21879	     	     1544
        0	     	        0	     	    16495	     	    21740	     	     1482
        0	     	        0	     	    16255	     	    21809	     	     1505
        0	     	        0	     	    16300	     	    21977	     	     1542
        0	     	        0	     	    16466	     	    21845	     	     1505
        0	     	        0	     	    16255	     	    21649	     	     1508
        0	     	        0	     	    16401	     	    21687	     	     1457
        0	     	        0	     	    16128	     	    21983	     	     1471
        0	     	        0	     	    16594	     	    21575	     	     1535
