Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    17530	     	    20232	     	     2024
        0	     	        0	     	    17487	     	    19866	     	     1961
        0	     	        0	     	    17873	     	    19950	     	     2029
        0	     	        0	     	    17718	     	    19922	     	     2049
        0	     	        0	     	    17706	     	    19823	     	     2026
        0	     	        0	     	    17774	     	    19886	     	     1985
        0	     	        0	     	    17623	     	    19898	     	     2015
        0	     	        0	     	    17669	     	    19834	     	     2021
        0	     	        0	     	    17686	     	    20275	     	     2023
        0	     	        0	     	    17810	     	    20052	     	     2061
        0	     	        0	     	    17522	     	    20015	     	     2025
        0	     	        0	     	    17552	     	    19955	     	     2011
        0	     	        0	     	    17368	     	    20020	     	     2002
        0	     	        0	     	    17350	     	    20086	     	     2003
        0	     	        0	     	    17586	     	    19979	     	     2078
        0	     	        0	     	    17525	     	    20021	     	     1985
        0	     	        0	     	    17645	     	    19986	     	     2031
        0	     	        0	     	    17880	     	    19889	     	     2057
        0	     	        0	     	    17860	     	    20154	     	     1991
        0	     	        0	     	    17620	     	    19945	     	     2052
