Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    15192	     	    22647	     	     2087
        0	     	        0	     	    15041	     	    22827	     	     2113
        0	     	        0	     	    15039	     	    22584	     	     2071
        0	     	        0	     	    14987	     	    22445	     	     2017
        0	     	        0	     	    15268	     	    22346	     	     2094
        0	     	        0	     	    15141	     	    22393	     	     2092
        0	     	        0	     	    15184	     	    22561	     	     2102
        0	     	        0	     	    15402	     	    22721	     	     2028
        0	     	        0	     	    15037	     	    22728	     	     2026
        0	     	        0	     	    15336	     	    22432	     	     2012
        0	     	        0	     	    14890	     	    22473	     	     1992
        0	     	        0	     	    15227	     	    22613	     	     2050
        0	     	        0	     	    15182	     	    22507	     	     2024
        0	     	        0	     	    15354	     	    22347	     	     2078
        0	     	        0	     	    15195	     	    22576	     	     2130
        0	     	        0	     	    14986	     	    22442	     	     2061
        0	     	        0	     	    15458	     	    22489	     	     2086
        0	     	        0	     	    15285	     	    22608	     	     2080
        0	     	        0	     	    15137	     	    22570	     	     2069
        0	     	        0	     	    15174	     	    22627	     	     2090
