Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    15381	     	    22248	     	     2037
        0	     	        0	     	    15074	     	    22669	     	     2048
        0	     	        0	     	    15178	     	    22345	     	     2080
        0	     	        0	     	    14904	     	    22383	     	     2001
        0	     	        0	     	    15131	     	    22326	     	     1962
        0	     	        0	     	    15087	     	    22579	     	     2025
        0	     	        0	     	    15142	     	    22103	     	     2065
        0	     	        0	     	    15128	     	    22394	     	     2017
        0	     	        0	     	    15292	     	    22385	     	     2016
        0	     	        0	     	    15100	     	    22162	     	     2021
        0	     	        0	     	    15100	     	    22206	     	     2086
        0	     	        0	     	    15338	     	    22339	     	     2107
        0	     	        0	     	    15125	     	    22302	     	     2032
        0	     	        0	     	    15350	     	    22501	     	     2017
        0	     	        0	     	    15035	     	    22240	     	     1972
        0	     	        0	     	    15023	     	    22228	     	     2012
        0	     	        0	     	    15141	     	    22572	     	     1955
        0	     	        0	     	    15062	     	    22502	     	     2031
        0	     	        0	     	    15256	     	    22132	     	     2021
        0	     	        0	     	    15100	     	    22213	     	     1942
