Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	    16228	     	    21741	     	     1475
        0	     	        0	     	    16312	     	    21913	     	     1492
        0	     	        0	     	    16312	     	    21959	     	     1514
        0	     	        0	     	    16493	     	    21680	     	     1404
        0	     	        0	     	    16355	     	    21546	     	     1411
        0	     	        0	     	    16459	     	    21822	     	     1463
        0	     	        0	     	    16579	     	    21881	     	     1570
        0	     	        0	     	    16475	     	    21851	     	     1439
        0	     	        0	     	    16301	     	    21496	     	     1423
        0	     	        0	     	    16088	     	    21918	     	     1383
        0	     	        0	     	    16228	     	    22142	     	     1521
        0	     	        0	     	    16341	     	    21679	     	     1379
        0	     	        0	     	    16221	     	    21681	     	     1386
        0	     	        0	     	    16474	     	    21790	     	     1480
        0	     	        0	     	    16625	     	    21975	     	     1506
        0	     	        0	     	    16247	     	    21821	     	     1465
        0	     	        0	     	    16253	     	    21790	     	     1363
        0	     	        0	     	    16183	     	    22121	     	     1440
        0	     	        0	     	    16252	     	    21704	     	     1371
        0	     	        0	     	    16261	     	    21668	     	     1463
